Row,ic_E,ic_dE
917,479.12844,518.48284
918,696.41003,454.32116
919,1029.4044,485.61145
920,1039.4877,476.71252
921,911.12219,475.78024
922,1041.2397,466.91461
923,898.98956,446.93002
924,954.30310,454.81683
925,1024.2397,475.39364
926,1043.8096,472.52935
927,366.27703,535.25177
928,418.54397,537.89428
929,1032.2196,484.16613
930,887.96252,464.33557
931,904.61450,442.13824
932,1027.6868,472.00994
933,1015.3702,467.02468
934,1042.2647,477.16198
935,906.90313,449.07598
936,466.17315,506.11734
937,929.48309,439.05755
938,930.42791,446.46575
939,409.29968,536.60278
940,416.52462,530.06878
941,438.74047,500.45797
942,435.77743,516.08331
943,861.67120,456.50198
944,922.66735,440.51107
945,422.33285,516.25311
946,876.21563,387.96795
947,762.86267,474.20278
948,863.89404,463.85055
949,961.30352,467.33825
950,428.37655,535.42376
951,1045.3201,483.98266
952,1027.5263,483.94012
953,533.80023,505.73623
954,1039.8734,474.05792
955,489.25842,522.52294
956,881.57238,459.71429
957,934.23638,454.48037
958,1032.4261,465.14367
959,912.29815,447.84942
960,430.64837,514.34082
961,894.00378,443.59262
962,365.00531,527.57818
963,869.61816,458.72552
964,461.32449,509.94363
965,549.92944,512.51330
966,471.96658,502.73840
967,484.30511,458.07815
968,1028.6221,466.94232
969,1054.9763,477.53222
970,484.25177,518.01947
971,370.67651,548.22174
972,457.32162,527.19940
973,409.53277,560.08422
974,389.91391,530.11908
975,885.94061,455.43258
976,869.85766,465.26388
977,1022.1732,490.97970
978,917.05749,446.29852
979,472.96655,511.67840
980,923.97253,465.28146
981,1049.1364,484.06451
982,909.04766,444.35437
983,928.05798,441.78381
984,561.44018,463.88104
985,821.70300,470.59054
986,1044.0587,485.99847
987,1044.3659,468.85217
988,426.17404,542.15661
989,1042.3352,482.75293
990,852.73681,458.42453
991,883.58807,447.45291
992,876.36120,440.25534
993,1010.0468,499.76425
994,959.64587,435.13156
995,1057.1093,487.52441
996,440.39001,535.19537
997,1025.4733,450.64334
998,929.01525,452.68289
999,1058.5002,474.23483
1000,408.36175,527.20892
1001,1053.1303,469.60626
1002,921.19897,458.12814
1003,948.50616,450.18481
1004,478.58895,504.88156
1005,1025.3516,472.74459
1006,1010.7216,471.26724
1007,910.11871,440.35449
1008,979.94000,430.46688
1009,916.14630,440.75381
1010,1044.2105,484.09399
1011,1037.7244,471.34063
1012,451.33468,515.62414
1013,1046.7495,476.91668
1014,421.73327,533.58557
1015,391.34063,545.85376
1016,917.87786,442.69894
1017,879.72656,453.86904
1018,1045.2670,483.07659
1019,428.23822,531.62872
1020,1012.2437,476.11688
1021,936.47546,459.51983
1022,867.25750,460.90808
1023,902.80975,462.47644
1024,1015.2059,486.34439
1025,929.34875,446.40243
1026,1035.2641,466.17550
1027,884.43627,436.50393
1028,491.95336,527.21325
1029,910.83923,437.28872
1030,875.43719,455.99545
1031,920.18530,430.58221
1032,469.01794,510.46151
1033,1046.2188,489.39587
1034,894.74188,465.23849
1035,529.87420,502.65246
1036,909.79174,450.22903
1037,1043.5376,463.06811
1038,879.50262,451.25979
1039,790.55658,470.86047
1040,931.11187,472.12905
1041,405.11746,527.46350
1042,1017.6753,472.24121
1043,1030.5747,481.06820
1044,890.84460,456.00711
1045,908.20019,448.80395
1046,427.51477,530.10437
1047,490.28323,508.69143
1048,313.15667,570.34558
1049,1047.0116,484.51107
1050,1036.4871,475.89193
1051,892.14331,429.05706
1052,1034.4593,481.08590
1053,900.53234,450.52236
1054,594.41265,506.50375
1055,906.47467,444.58206
1056,942.10595,436.82565
1057,376.67602,538.83172
1058,1024.9499,476.51977
1059,888.26647,454.82629
1060,469.51879,520.90014
1061,496.52310,532.32995
1062,997.89471,477.34701
1063,1021.5831,460.39114
1064,363.27056,541.83868
1065,382.03128,530.29003
1066,910.82586,454.00302
1067,401.36773,524.79217
1068,902.31219,446.70913
1069,471.51828,519.95697
1070,939.74969,436.98355
1071,1042.3969,469.69757
1072,448.94519,528.34613
1073,508.81085,516.36853
1074,300.08129,455.55816
1075,1038.6461,480.71765
1076,420.28796,520.49469
1077,390.83087,544.88977
1078,918.40515,452.70449
1079,468.27734,519.82580
1080,483.50692,507.12905
1081,1033.9674,483.60595
1082,1043.6723,494.32049
1083,1013.3269,502.62365
1084,424.33099,527.56054
1085,465.54470,528.98571
1086,1035.8753,484.69705
1087,1039.1651,481.72726
1088,463.95529,508.71936
1089,921.20318,456.34591
1090,1015.0898,468.69290
1091,373.67092,531.61914
1092,453.79809,523.47235
1093,879.98168,445.78616
1094,1049.8520,490.65670
1095,910.57916,468.58065
1096,434.66369,528.05590
1097,482.85693,527.51483
1098,899.90728,452.47979
1099,1013.9729,482.06906
1100,424.93859,521.61602
1101,837.58227,448.67480
1102,915.34552,454.68658
1103,845.02270,470.12799
1104,921.55151,428.45263
1105,416.06936,533.24182
1106,521.29882,512.28826
1107,942.17871,449.96987
1108,897.58752,437.94494
1109,1007.5620,491.47653
1110,534.09869,520.33013
1111,917.15033,423.54003
1112,857.24749,469.02246
1113,935.29382,460.34298
1114,451.86166,525.06805
1115,1050.3147,484.92932
1116,1019.1121,479.29354
1117,924.33636,443.27401
1118,465.92538,526.60540
1119,914.17486,449.24218
1120,501.29620,504.65286
1121,400.57519,519.08850
1122,1043.9128,479.92910
1123,388.31311,536.49780
1124,1053.7302,474.96530
